Time,HoTe,AwTe,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Ref,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HBP,ABP,HTTG,FTTG,TS,TST,TC,TF,TY,TR
15:00,Accrington,Burton,0,0,D,0,0,D,O Yates,17,6,5,2,10,11,5,7,1,2,0,0,10,20,0,0,23,7,12,21,3,0
15:00,Charlton,Morecambe,2,3,A,0,2,A,M Edwards,23,11,4,4,6,5,6,6,1,0,0,0,10,0,2,5,34,8,12,11,1,0
15:00,Cheltenham,Gillingham,2,2,D,1,1,D,D Rock,18,12,10,6,15,15,5,5,2,1,0,0,20,10,2,4,30,16,10,30,3,0
15:00,Crewe,AFC Wimbledon,3,1,H,0,1,A,D Webb,21,12,5,5,4,12,6,5,0,0,0,0,0,0,1,4,33,10,11,16,0,0
15:00,Doncaster,Bolton,1,2,A,0,0,D,J Oldham,19,11,6,2,12,14,8,3,2,4,0,0,20,40,0,3,30,8,11,26,6,0
15:00,Fleetwood Town,Oxford,2,3,A,1,3,A,R Madley,19,11,6,5,9,10,5,0,1,2,0,0,10,20,4,5,30,11,5,19,3,0
15:00,Portsmouth,Lincoln,3,2,H,0,0,D,T Kettle,17,26,7,6,12,8,5,7,1,1,0,0,10,10,0,5,43,13,12,20,2,0
15:00,Sunderland,Shrewsbury,3,2,H,2,0,H,D Bond,18,9,7,3,6,11,4,2,2,3,0,0,20,30,2,5,27,10,6,17,5,0
15:00,Wycombe,Plymouth,2,0,H,2,0,H,D Drysdale,13,9,5,2,12,7,5,2,2,0,0,0,20,0,2,2,22,7,7,19,2,0
12:30,Rotherham,Ipswich,1,0,H,0,0,D,P Wright,14,3,3,1,4,16,10,6,1,5,0,0,10,50,0,1,17,4,16,20,6,0
17:15,Wigan,Cambridge,1,2,A,0,2,A,R Joyce,11,9,2,5,10,7,8,4,2,3,0,0,20,30,2,3,20,7,12,17,5,0
19:45,Milton Keynes Dons,Sheffield Weds,2,3,A,1,3,A,B Toner,10,6,4,4,9,16,3,2,2,3,0,0,20,30,4,5,16,8,5,25,5,0
15:00,AFC Wimbledon,Wycombe,1,1,D,1,0,H,S Barrott,9,17,2,5,16,12,2,7,2,2,0,0,20,20,1,2,26,7,9,28,4,0
15:00,Bolton,Accrington,3,1,H,1,0,H,T Bramall,17,15,3,6,11,13,3,1,4,4,0,1,40,65,1,4,32,9,4,24,8,1
15:00,Gillingham,Fleetwood Town,0,0,D,0,0,D,J Linington,16,7,6,3,8,7,1,3,3,0,1,1,55,25,0,0,23,9,4,15,3,2
15:00,Lincoln,Cheltenham,3,0,H,3,0,H,S Mather,15,11,8,4,7,22,6,2,0,3,0,0,0,30,3,3,26,12,8,29,3,0
15:00,Morecambe,Portsmouth,1,1,D,0,1,A,R Madley,19,9,5,3,12,5,10,5,1,0,0,0,10,0,1,2,28,8,15,17,1,0
15:00,Plymouth,Sunderland,0,0,D,0,0,D,C Brook,7,10,1,2,11,12,7,3,1,2,0,0,10,20,0,0,17,3,10,23,3,0
15:00,Shrewsbury,Doncaster,3,3,D,3,0,H,A Kitchen,19,17,8,8,10,6,8,4,1,0,0,0,10,0,3,6,36,16,12,16,1,0
19:45,Burton,Rotherham,2,0,H,1,0,H,T Reeves,13,21,7,5,14,8,6,13,2,2,0,0,20,20,1,2,34,12,19,22,4,0
19:45,Cambridge,Charlton,0,2,A,0,0,D,P Howard,10,14,1,9,9,13,8,7,0,2,0,0,0,20,0,2,24,10,15,22,2,0
19:45,Ipswich,Wigan,2,2,D,0,1,A,W Finnie,10,7,4,5,12,9,5,2,4,2,0,0,40,20,1,4,17,9,7,21,6,0
19:45,Oxford,Milton Keynes Dons,1,0,H,0,0,D,A Backhouse,8,10,2,2,10,6,8,3,3,0,0,0,30,0,0,1,18,4,11,16,3,0
19:45,Sheffield Weds,Crewe,1,0,H,0,0,D,C Breakspear,18,1,5,1,12,10,7,4,1,2,0,0,10,20,0,1,19,6,11,22,3,0
15:00,Accrington,Lincoln,2,1,H,1,0,H,M Edwards,18,8,5,4,14,10,2,1,0,3,1,0,25,30,1,3,26,9,3,24,3,1
15:00,Charlton,Shrewsbury,2,0,H,0,0,D,S Purkiss,16,12,8,6,11,14,7,3,0,0,0,0,0,0,0,2,28,14,10,25,0,0
15:00,Cheltenham,Bolton,1,2,A,0,0,D,N Hair,8,13,4,4,12,8,4,7,2,0,0,0,20,0,0,3,21,8,11,20,2,0
15:00,Crewe,Ipswich,1,1,D,0,1,A,S Mather,11,18,4,7,9,11,4,6,2,2,0,0,20,20,1,2,29,11,10,20,4,0
15:00,Doncaster,Burton,2,0,H,1,0,H,W Finnie,6,14,3,2,8,15,1,12,0,3,0,0,0,30,1,2,20,5,13,23,3,0
15:00,Fleetwood Town,AFC Wimbledon,1,1,D,0,1,A,A Backhouse,10,5,3,1,15,15,4,1,2,5,0,0,20,50,1,2,15,4,5,30,7,0
15:00,Milton Keynes Dons,Morecambe,2,0,H,1,0,H,L Swabey,12,4,7,0,8,17,5,3,2,4,0,0,20,40,1,2,16,7,8,25,6,0
15:00,Portsmouth,Gillingham,3,1,H,2,1,H,D Drysdale,16,9,9,2,10,9,5,2,0,2,0,0,0,20,3,4,25,11,7,19,2,0
15:00,Rotherham,Oxford,2,1,H,1,1,D,C Breakspear,16,6,6,2,12,14,6,3,3,2,0,0,30,20,2,3,22,8,9,26,5,0
